epoch,step,train_loss
2,49,4.769863128662109
4,99,4.083353042602539
7,149,4.869426250457764
9,199,4.797791957855225
12,249,4.201747894287109
14,299,4.60401725769043
17,349,4.445696830749512
19,399,4.409316539764404
22,449,3.0715928077697754
24,499,4.382172584533691
27,549,9.503680229187012
29,599,4.657768726348877
32,649,9.379180908203125
34,699,3.50236177444458
37,749,4.277332782745361
39,799,4.276176929473877
42,849,3.4160654544830322
44,899,3.3756613731384277
47,949,3.5311198234558105
49,999,3.449777603149414
