epoch,step,train_loss
2,49,93.63034057617188
4,99,25.743091583251953
7,149,16.095348358154297
9,199,21.765302658081055
12,249,6.1500420570373535
14,299,12.414830207824707
17,349,6.3798441886901855
19,399,9.191938400268555
22,449,7.099887371063232
24,499,7.418161869049072
27,549,10.69262981414795
29,599,46.244468688964844
32,649,28.527835845947266
34,699,14.579534530639648
37,749,12.718174934387207
39,799,27.32085418701172
42,849,15.037324905395508
44,899,9.417154312133789
47,949,15.262773513793945
49,999,10.80348014831543
52,1049,7.0250325202941895
54,1099,6.828783988952637
57,1149,12.814676284790039
59,1199,12.281893730163574
62,1249,11.735309600830078
64,1299,6.497798919677734
67,1349,7.259857177734375
69,1399,11.340235710144043
72,1449,14.263011932373047
74,1499,17.68532371520996
77,1549,7.405725955963135
79,1599,7.502494812011719
82,1649,6.360671520233154
84,1699,8.606456756591797
87,1749,7.0787353515625
89,1799,7.732528209686279
92,1849,6.637820243835449
94,1899,7.012407302856445
97,1949,19.303953170776367
99,1999,8.497089385986328
102,2049,13.100265502929688
104,2099,6.742259979248047
107,2149,9.021186828613281
109,2199,6.816789627075195
112,2249,8.75311279296875
114,2299,8.544655799865723
117,2349,6.719698905944824
119,2399,7.525966644287109
122,2449,7.448838233947754
124,2499,6.802852630615234
127,2549,7.644536972045898
129,2599,6.623836994171143
132,2649,13.436599731445312
134,2699,13.155609130859375
137,2749,7.676557540893555
139,2799,14.830821990966797
142,2849,6.505112648010254
144,2899,8.070972442626953
147,2949,7.503675937652588
149,2999,7.797015190124512
152,3049,9.100427627563477
154,3099,6.393466949462891
157,3149,7.247225761413574
159,3199,11.880342483520508
162,3249,8.00806999206543
164,3299,9.047306060791016
167,3349,8.177915573120117
169,3399,14.650956153869629
172,3449,7.75830078125
174,3499,6.674063682556152
177,3549,6.464605808258057
179,3599,7.549211502075195
182,3649,8.544637680053711
184,3699,6.609472274780273
187,3749,7.0629472732543945
189,3799,11.450739860534668
192,3849,8.368375778198242
194,3899,6.589673042297363
197,3949,6.9564714431762695
199,3999,7.714715003967285
202,4049,7.863972187042236
204,4099,6.606820106506348
207,4149,8.21666145324707
209,4199,7.293593406677246
212,4249,6.497179985046387
214,4299,7.528019905090332
217,4349,7.9293107986450195
219,4399,6.557404518127441
222,4449,6.776285171508789
224,4499,6.562021255493164
227,4549,9.150104522705078
229,4599,7.701455593109131
232,4649,8.243169784545898
234,4699,7.399303436279297
237,4749,11.7470121383667
239,4799,8.051703453063965
242,4849,7.635085105895996
244,4899,7.607705116271973
247,4949,10.355733871459961
249,4999,6.461919784545898
252,5049,8.441268920898438
254,5099,6.8241167068481445
257,5149,8.005675315856934
259,5199,6.410993576049805
262,5249,8.428802490234375
264,5299,7.629044532775879
267,5349,8.86164665222168
269,5399,15.247665405273438
272,5449,6.931947708129883
274,5499,6.236644268035889
277,5549,11.189361572265625
279,5599,6.273397445678711
282,5649,7.194919586181641
284,5699,7.271167755126953
287,5749,6.5628557205200195
289,5799,8.784664154052734
292,5849,8.715744018554688
294,5899,5.797304153442383
297,5949,7.746373176574707
299,5999,5.9738054275512695
302,6049,7.149239540100098
304,6099,7.291687965393066
307,6149,8.195262908935547
309,6199,7.621716499328613
312,6249,8.753643035888672
314,6299,7.123719692230225
317,6349,7.617746353149414
319,6399,10.860444068908691
322,6449,6.394893646240234
324,6499,10.742137908935547
327,6549,5.5362019538879395
329,6599,12.27143383026123
332,6649,9.477069854736328
334,6699,7.46230411529541
337,6749,7.650841236114502
339,6799,5.988574028015137
342,6849,8.768081665039062
344,6899,7.003725051879883
347,6949,11.622255325317383
349,6999,8.752066612243652
352,7049,8.786978721618652
354,7099,11.960025787353516
357,7149,7.9543914794921875
359,7199,7.077092170715332
362,7249,7.179795265197754
364,7299,7.460721969604492
367,7349,5.465878486633301
369,7399,10.828378677368164
372,7449,5.696686744689941
374,7499,11.593711853027344
377,7549,7.143650531768799
379,7599,5.688309669494629
382,7649,9.002839088439941
384,7699,8.033416748046875
387,7749,7.06390380859375
389,7799,5.29448938369751
392,7849,5.597235679626465
394,7899,7.2337212562561035
397,7949,8.84539794921875
399,7999,5.541613578796387
402,8049,5.4061431884765625
404,8099,5.397768974304199
407,8149,9.54477596282959
409,8199,10.069456100463867
412,8249,7.74904727935791
414,8299,7.844642162322998
417,8349,6.821444034576416
419,8399,7.781066417694092
422,8449,7.7311296463012695
424,8499,10.144929885864258
427,8549,6.972743988037109
429,8599,6.25709342956543
432,8649,10.585731506347656
434,8699,7.7963480949401855
437,8749,7.1553449630737305
439,8799,7.886549949645996
442,8849,6.6790771484375
444,8899,9.909000396728516
447,8949,8.789379119873047
449,8999,6.871047019958496
452,9049,8.410051345825195
454,9099,7.272195816040039
457,9149,5.229686737060547
459,9199,9.274852752685547
462,9249,12.91059684753418
464,9299,6.482943534851074
467,9349,8.427848815917969
469,9399,10.337926864624023
472,9449,7.766203880310059
474,9499,7.6781744956970215
477,9549,6.325643539428711
479,9599,7.672974109649658
482,9649,11.759394645690918
484,9699,5.4203996658325195
487,9749,7.687743186950684
489,9799,7.529497146606445
492,9849,8.329852104187012
494,9899,7.56083345413208
497,9949,6.878785610198975
499,9999,7.223498344421387
