epoch,step,train_loss
2,49,82.11833953857422
4,99,7.442622184753418
7,149,8.885396957397461
9,199,7.058820724487305
12,249,7.674099445343018
14,299,51.19672393798828
17,349,9.009845733642578
19,399,10.586252212524414
22,449,6.175151348114014
24,499,7.141828536987305
27,549,20.601970672607422
29,599,18.842031478881836
32,649,7.718502521514893
34,699,6.523632049560547
37,749,6.5738091468811035
39,799,8.51585578918457
42,849,7.211435317993164
44,899,25.808032989501953
47,949,11.902929306030273
49,999,25.59243392944336
